"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://eghiseul.ro/","1","eGhișeul.ro — Documente Online: Cazier, Carte Funciară","54","499","Indexable",""
"https://eghiseul.ro/calculator/termene-judiciare/","1","Calculator Termene Judiciare 2026 — Exact, Gratuit, pe Loc | eGhiseul.ro","72","643","Indexable",""
"https://eghiseul.ro/calculator/dividende/","1","Calculator Dividende 2026 — Impozit 16% și CASS | eGhiseul.ro","61","559","Indexable",""
"https://eghiseul.ro/calculator/salariu/","1","Calculator Salariu Net 2026 — Brut în Net și Invers, Gratuit | eGhiseul.ro","74","631","Indexable",""
"https://eghiseul.ro/servicii/cazier-fiscal-online/","1","Cazier Fiscal Online persoană fizică — ANAF, fără SPV | eGhiseul.ro","67","598","Indexable",""
"https://eghiseul.ro/calculator/estimare-pensie/","1","Calculator Estimare Pensie 2026 — Puncte și Cuantum | eGhiseul.ro","65","603","Indexable",""
"https://eghiseul.ro/servicii/","1","Servicii | Documente online pentru România | eGhiseul.ro","56","505","Indexable",""
"https://eghiseul.ro/servicii/extras-multilingv-certificat-casatorie/","1","Extras Multilingv Certificat de Căsătorie 2026 — pentru UE, Fără Traducere | eGhiseul.ro","88","777","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/","1","Extras Carte Funciară Online în 5 Minute — Automat, 24/7 | eGhiseul.ro","70","628","Indexable",""
"https://eghiseul.ro/calculator/credit-ipotecar/","1","Calculator Credit Ipotecar 2026 — Rata Lunară | eGhiseul.ro","59","527","Indexable",""
"https://eghiseul.ro/servicii/identificare-imobil/","1","Număr Cadastral după Adresă — Îl Aflăm Noi | Extras CF | eGhiseul.ro","68","615","Indexable",""
"https://eghiseul.ro/servicii/certificat-sarcini/","1","Certificat de Sarcini — Verifică Grevările unui Imobil | OCPI | eGhiseul.ro","75","636","Indexable",""
"https://eghiseul.ro/servicii/certificat-constatator-online/","1","Certificat Constatator Online în Câteva Minute — 89 RON (2026) | eGhiseul.ro","76","684","Indexable",""
"https://eghiseul.ro/termeni-si-conditii/","1","Termeni și Condiții | eGhiseul.ro","33","284","Indexable",""
"https://eghiseul.ro/servicii/copie-carte-funciara/","1","Copie Carte Funciară in extenso (integrală) — OCPI / ANCPI | eGhiseul.ro","72","645","Indexable",""
"https://eghiseul.ro/servicii/eliberare-certificat-de-casatorie/","1","Certificat de Căsătorie Online — Duplicat de la Starea Civilă | eGhiseul.ro","75","644","Indexable",""
"https://eghiseul.ro/politica-de-anulare/","1","Politica de Anulare și Rambursare | eGhiseul.ro","47","418","Indexable",""
"https://eghiseul.ro/calculator/impozit-casa/","1","Calculator Impozit pe Casă (Clădiri) 2026 | eGhiseul.ro","55","481","Indexable",""
"https://eghiseul.ro/calculator/indemnizatie-somaj/","1","Calculator Indemnizație de Șomaj 2026 | eGhiseul.ro","51","466","Indexable",""
"https://eghiseul.ro/gdpr/","1","GDPR — Protecția Datelor | eGhiseul.ro","38","346","Indexable",""
"https://eghiseul.ro/calculator/amenda-circulatie/","1","Calculator Amendă Circulație 2026 + Puncte de Penalizare | eGhiseul.ro","70","637","Indexable",""
"https://eghiseul.ro/politica-cookies/","1","Politica de Cookie-uri | eGhiseul.ro","36","305","Indexable",""
"https://eghiseul.ro/apostila-de-la-haga-ghid-acte-obtinere/","1","Apostila de la Haga: pe ce acte se aplică, unde o obții și cât costă (2026) | eGhiseul.ro","89","758","Indexable",""
"https://eghiseul.ro/servicii/certificat-urbanism-informare/","1","Certificat de Urbanism Online — Îl Obținem Noi de la Primărie | eGhiseul.ro","75","662","Indexable",""
"https://eghiseul.ro/calculator/tva/","1","Calculator TVA 2026 — Adaugă sau Scoate TVA 21%, Gratuit | eGhiseul.ro","70","653","Indexable",""
"https://eghiseul.ro/calculator/pensie-alimentara/","1","Calculator Pensie Alimentară 2026 — Cât Trebuie să Plătești | eGhiseul.ro","73","656","Indexable",""
"https://eghiseul.ro/calculator/calculator-impozit-auto/","1","Calculator Impozit Auto 2026 — Taxa pe Mașină | eGhiseul.ro","59","542","Indexable",""
"https://eghiseul.ro/servicii/cazier-judiciar-online/persoana-fizica/","1","Cazier Judiciar Persoană Fizică Online — 198 RON | eGhiseul.ro","62","562","Indexable",""
"https://eghiseul.ro/calculator/taxe-notariale/","1","Calculator Taxe Notariale 2026 — Vânzare, Donație, Succesiune | eGhiseul.ro","75","681","Indexable",""
"https://eghiseul.ro/schimbare-sediu-social-srl-ghid/","1","Schimbarea sediului social la SRL: acte, pași la ONRC și ce urmează după (2026) | eGhiseul.ro","93","831","Indexable",""
"https://eghiseul.ro/calculator/calculator-procente/","1","Calculator Procente Online — Cât e X% din Y | eGhiseul.ro","57","510","Indexable",""
"https://eghiseul.ro/servicii/plan-amplasament-delimitare/","1","Plan de Amplasament și Delimitare (PAD) din Arhiva OCPI | eGhiseul.ro","69","634","Indexable",""
"https://eghiseul.ro/curs-valutar/","1","Curs Valutar BNR Azi — Euro, Dolar, Liră (Convertor + Grafice) | eGhiseul.ro","76","661","Indexable",""
"https://eghiseul.ro/calculator/cat-pot-construi/","1","Cât Pot Construi pe Teren? Calculator POT și CUT | eGhiseul.ro","62","559","Indexable",""
"https://eghiseul.ro/calculator/","1","Calculatoare Online Gratuite 2026 — eGhișeul.ro | eGhiseul.ro","61","545","Indexable",""
"https://eghiseul.ro/servicii/cazier-judiciar-online/","1","Cazier Judiciar Online 2026 — Fără Drumuri, în 3-5 Zile | eGhiseul.ro","69","599","Indexable",""
"https://eghiseul.ro/calculator/jugar-stanjen-in-mp/","1","Convertor Jugăr și Stânjen în Metri Pătrați — Unități Vechi de Teren | eGhiseul.ro","82","716","Indexable",""
"https://eghiseul.ro/servicii/rovinieta-online/","1","Rovinieta Online 2026 — Cumpără și Plătește în 2 Minute | eGhiseul.ro","69","622","Indexable",""
"https://eghiseul.ro/calculator/concediu-medical/","1","Calculator Concediu Medical 2026 — Indemnizație | eGhiseul.ro","61","561","Indexable",""
"https://eghiseul.ro/servicii/actualizare-adresa-cf/","1","Actualizare Adresă în Cartea Funciară (OCPI/ANCPI) | eGhiseul.ro","64","583","Indexable",""
"https://eghiseul.ro/servicii/eliberare-certificat-de-celibat/","1","Certificat de Celibat Online România — Rapid, de la Starea Civilă | eGhiseul.ro","79","686","Indexable",""
"https://eghiseul.ro/tools/verificare-rovinieta-online/","1","Verificare Rovinietă Online — Gratuit, După Număr | eGhiseul.ro","63","562","Indexable",""
"https://eghiseul.ro/servicii/eliberare-certificat-de-nastere/","1","Certificat de Naștere Online — Duplicat de la Starea Civilă | eGhiseul.ro","73","629","Indexable",""
"https://eghiseul.ro/politica-de-confidentialitate/","1","Politica de Confidențialitate | eGhiseul.ro","43","364","Indexable",""
"https://eghiseul.ro/servicii/identificare-imobile-proprietar/","1","Identificare Imobile după Proprietar — Lista Bunurilor | eGhiseul.ro","68","587","Indexable",""
"https://eghiseul.ro/contact/","1","Contact — eGhișeul.ro | eGhiseul.ro","35","313","Indexable",""
"https://eghiseul.ro/servicii/cazier-auto-online/","1","Cazier Auto Online — Istoricul Sancțiunilor Rutiere, fără Drumuri | eGhiseul.ro","79","681","Indexable",""
"https://eghiseul.ro/calculator/varsta-pensionare/","1","Calculator Vârstă de Pensionare 2026 — Când Ies la Pensie | eGhiseul.ro","71","643","Indexable",""
